#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051094	Positive regulation of developmental process	9	1389	0.74	0.0187	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000383199,9606.ENSP00000389814,9606.ENSP00000429562	MAPK1,STK11,GHRL,PDPK1,CXCL9,PTEN,NEDD4L,ADIPOQ,UNC13A
GO Process	GO:0022603	Regulation of anatomical structure morphogenesis	8	1095	0.79	0.0242	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000383199,9606.ENSP00000389814,9606.ENSP00000429562	STK11,GHRL,PDPK1,CXCL9,PTEN,NEDD4L,ADIPOQ,UNC13A
GO Process	GO:0048878	Chemical homeostasis	8	1124	0.78	0.0269	9606.ENSP00000215832,9606.ENSP00000253159,9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000383199,9606.ENSP00000389814	MAPK1,ZNF236,STK11,GHRL,PDPK1,CXCL9,NEDD4L,ADIPOQ
GO Process	GO:0009628	Response to abiotic stimulus	8	1147	0.77	0.0288	9606.ENSP00000293599,9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000361021,9606.ENSP00000365777,9606.ENSP00000389814,9606.ENSP00000480150	AQP5,STK11,GHRL,PDPK1,PTEN,MTHFR,ADIPOQ,HYOU1
GO Process	GO:0060627	Regulation of vesicle-mediated transport	6	550	0.97	0.0288	9606.ENSP00000215832,9606.ENSP00000334198,9606.ENSP00000344220,9606.ENSP00000361021,9606.ENSP00000383199,9606.ENSP00000389814	MAPK1,CACNA1H,PDPK1,PTEN,NEDD4L,ADIPOQ
GO Process	GO:0065008	Regulation of biological quality	14	4042	0.47	0.0288	9606.ENSP00000215832,9606.ENSP00000253159,9606.ENSP00000293599,9606.ENSP00000324856,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000383199,9606.ENSP00000389814,9606.ENSP00000429562,9606.ENSP00000436455	MAPK1,ZNF236,AQP5,STK11,CACNA1H,GHRL,PDPK1,CXCL9,PTEN,CAPN10,NEDD4L,ADIPOQ,UNC13A,NUCB2
GO Process	GO:0009725	Response to hormone	7	849	0.85	0.0292	9606.ENSP00000215832,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000389814	MAPK1,CACNA1H,GHRL,PDPK1,PTEN,CAPN10,ADIPOQ
GO Process	GO:0032870	Cellular response to hormone stimulus	6	569	0.95	0.0292	9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000389814	CACNA1H,GHRL,PDPK1,PTEN,CAPN10,ADIPOQ
GO Process	GO:0048638	Regulation of developmental growth	5	333	1.11	0.0292	9606.ENSP00000215832,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000383199,9606.ENSP00000429562	MAPK1,GHRL,PTEN,NEDD4L,UNC13A
GO Process	GO:0032869	Cellular response to insulin stimulus	4	169	1.3	0.0293	9606.ENSP00000344220,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000389814	PDPK1,PTEN,CAPN10,ADIPOQ
GO Process	GO:0048639	Positive regulation of developmental growth	4	176	1.29	0.0326	9606.ENSP00000215832,9606.ENSP00000335074,9606.ENSP00000383199,9606.ENSP00000429562	MAPK1,GHRL,NEDD4L,UNC13A
GO Process	GO:0032880	Regulation of protein localization	7	934	0.8	0.0410	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000375844,9606.ENSP00000383199,9606.ENSP00000389814	MAPK1,STK11,GHRL,PDPK1,CAPN10,NEDD4L,ADIPOQ
GO Process	GO:0044281	Small molecule metabolic process	9	1684	0.66	0.0410	9606.ENSP00000215832,9606.ENSP00000304592,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000349860,9606.ENSP00000361021,9606.ENSP00000365777,9606.ENSP00000377532,9606.ENSP00000389814	MAPK1,FASN,CACNA1H,GHRL,GFPT1,PTEN,MTHFR,PC,ADIPOQ
GO Process	GO:1903530	Regulation of secretion by cell	6	630	0.91	0.0410	9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000375844,9606.ENSP00000389814,9606.ENSP00000429562	CACNA1H,GHRL,PDPK1,CAPN10,ADIPOQ,UNC13A
GO Process	GO:0070373	Negative regulation of erk1 and erk2 cascade	3	70	1.56	0.0428	9606.ENSP00000262752,9606.ENSP00000361021,9606.ENSP00000389814	RPS6KA6,PTEN,ADIPOQ
GO Process	GO:0034764	Positive regulation of transmembrane transport	4	208	1.21	0.0497	9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000375844,9606.ENSP00000389814	PDPK1,CXCL9,CAPN10,ADIPOQ
KEGG	hsa04150	mTOR signaling pathway	5	151	1.45	0.00030	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,RPS6KA6,STK11,PDPK1,PTEN
KEGG	hsa04931	Insulin resistance	4	107	1.5	0.0013	9606.ENSP00000262752,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000361021	RPS6KA6,PDPK1,GFPT1,PTEN
KEGG	hsa04068	FoxO signaling pathway	4	127	1.43	0.0014	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
KEGG	hsa04140	Autophagy - animal	4	130	1.42	0.0014	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
KEGG	hsa04152	AMPK signaling pathway	4	120	1.45	0.0014	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000389814	FASN,STK11,PDPK1,ADIPOQ
KEGG	hsa04960	Aldosterone-regulated sodium reabsorption	3	37	1.84	0.0014	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000383199	MAPK1,PDPK1,NEDD4L
KEGG	hsa05213	Endometrial cancer	3	57	1.65	0.0022	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
KEGG	hsa03320	PPAR signaling pathway	3	75	1.53	0.0043	9606.ENSP00000300055,9606.ENSP00000344220,9606.ENSP00000389814	PLIN1,PDPK1,ADIPOQ
KEGG	hsa05215	Prostate cancer	3	96	1.42	0.0077	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
KEGG	hsa04071	Sphingolipid signaling pathway	3	116	1.34	0.0113	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
KEGG	hsa04722	Neurotrophin signaling pathway	3	114	1.35	0.0113	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000344220	MAPK1,RPS6KA6,PDPK1
KEGG	hsa04910	Insulin signaling pathway	3	133	1.28	0.0147	9606.ENSP00000215832,9606.ENSP00000304592,9606.ENSP00000344220	MAPK1,FASN,PDPK1
KEGG	hsa04151	PI3K-Akt signaling pathway	4	350	0.99	0.0183	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
KEGG	hsa04930	Type II diabetes mellitus	2	46	1.57	0.0345	9606.ENSP00000215832,9606.ENSP00000389814	MAPK1,ADIPOQ
KEGG	hsa04510	Focal adhesion	3	198	1.11	0.0363	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
Reactome	HSA-444257	RSK activation	3	7	2.56	0.00037	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000344220	MAPK1,RPS6KA6,PDPK1
Reactome	HSA-9634635	Estrogen-stimulated signaling through PRKCZ	2	6	2.45	0.0266	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
Reactome	HSA-163680	AMPK inhibits chREBP transcriptional activation activity	2	8	2.33	0.0320	9606.ENSP00000324856,9606.ENSP00000389814	STK11,ADIPOQ
WikiPathways	WP3915	Angiopoietin-like protein 8 regulatory pathway	4	130	1.42	0.0114	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000304592,9606.ENSP00000344220	MAPK1,RPS6KA6,FASN,PDPK1
WikiPathways	WP481	Insulin signaling	4	159	1.33	0.0123	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,RPS6KA6,PDPK1,PTEN
WikiPathways	WP1403	AMP-activated protein kinase (AMPK) signaling	3	68	1.57	0.0139	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000389814	FASN,STK11,ADIPOQ
WikiPathways	WP185	Integrin-mediated cell adhesion	3	100	1.41	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000375844	MAPK1,PDPK1,CAPN10
WikiPathways	WP2261	Glioblastoma signaling pathways	3	82	1.49	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WikiPathways	WP3594	Circadian rhythm genes	4	199	1.23	0.0139	9606.ENSP00000335074,9606.ENSP00000349860,9606.ENSP00000361021,9606.ENSP00000389814	GHRL,GFPT1,PTEN,ADIPOQ
WikiPathways	WP3942	PPAR signaling pathway	3	67	1.58	0.0139	9606.ENSP00000300055,9606.ENSP00000344220,9606.ENSP00000389814	PLIN1,PDPK1,ADIPOQ
WikiPathways	WP4155	Endometrial cancer	3	63	1.61	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WikiPathways	WP4674	Head and neck squamous cell carcinoma	3	72	1.55	0.0139	9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	STK11,PDPK1,PTEN
WikiPathways	WP4746	Thyroid hormones production and peripheral downstream signaling effects	3	94	1.43	0.0139	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000300055	MAPK1,RPS6KA6,PLIN1
WikiPathways	WP4806	EGFR tyrosine kinase inhibitor resistance	3	83	1.49	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WikiPathways	WP5098	T-cell activation SARS-CoV-2	3	86	1.47	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WikiPathways	WP1584	Type II diabetes mellitus	2	22	1.89	0.0187	9606.ENSP00000215832,9606.ENSP00000389814	MAPK1,ADIPOQ
WikiPathways	WP357	Fatty acid biosynthesis	2	22	1.89	0.0187	9606.ENSP00000304592,9606.ENSP00000377532	FASN,PC
WikiPathways	WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	4	302	1.05	0.0187	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
WikiPathways	WP3965	Lipid metabolism pathway	2	29	1.77	0.0255	9606.ENSP00000300055,9606.ENSP00000304592	PLIN1,FASN
WikiPathways	WP4172	PI3K-Akt signaling pathway	4	336	1.01	0.0255	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
WikiPathways	WP1984	Integrated breast cancer pathway	3	151	1.23	0.0283	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000361021	MAPK1,STK11,PTEN
WikiPathways	WP313	Hepatocyte growth factor receptor signaling	2	34	1.7	0.0289	9606.ENSP00000215832,9606.ENSP00000361021	MAPK1,PTEN
WikiPathways	WP437	EGF/EGFR signaling pathway	3	162	1.2	0.0311	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WikiPathways	WP2332	Interleukin-11 signaling pathway	2	44	1.59	0.0427	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
WikiPathways	WP306	Focal adhesion	3	196	1.11	0.0485	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WikiPathways	WP4539	Synaptic signaling pathways associated with autism spectrum disorder	2	49	1.54	0.0485	9606.ENSP00000215832,9606.ENSP00000361021	MAPK1,PTEN
Monarch HPO	HP:0025318	Ovarian carcinoma	3	11	2.37	0.0051	9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000365777	STK11,PTEN,MTHFR
TISSUES	BTO:0000345	Digestive gland	13	2645	0.62	0.0030	9606.ENSP00000215832,9606.ENSP00000216479,9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000356729,9606.ENSP00000361021,9606.ENSP00000377532,9606.ENSP00000383199,9606.ENSP00000436455,9606.ENSP00000480150	MAPK1,AHSA1,PLIN1,FASN,STK11,PDPK1,GFPT1,FMO3,PTEN,PC,NEDD4L,NUCB2,HYOU1
TISSUES	BTO:0000759	Liver	11	1882	0.7	0.0030	9606.ENSP00000215832,9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000349860,9606.ENSP00000356729,9606.ENSP00000361021,9606.ENSP00000377532,9606.ENSP00000383199,9606.ENSP00000436455,9606.ENSP00000480150	MAPK1,PLIN1,FASN,STK11,GFPT1,FMO3,PTEN,PC,NEDD4L,NUCB2,HYOU1
