#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:34187567	(2021) MicroRNAs: emerging driver of cancer perineural invasion.	5	104	1.97	0.0049	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,FGFR1,RHOA,MYD88
PMID:25066777	(2015) Hepatic inflammation and fibrosis: functional links and key pathways.	4	95	1.92	0.0189	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000401399	CCR5,CX3CR1,FGFR1,MYD88
PMID:24468477	(2014) High-resolution intravital imaging reveals that blood-derived macrophages but not resident microglia facilitate secondary axonal dieback in traumatic spinal cord injury.	3	18	2.51	0.0189	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000403495	CCR5,CX3CR1,LTA
PMID:35052763	(2021) Intestinal Barrier and Permeability in Health, Obesity and NAFLD.	4	99	1.9	0.0205	9606.ENSP00000351059,9606.ENSP00000356729,9606.ENSP00000379472,9606.ENSP00000401399	CX3CR1,FMO3,CCK,MYD88
PMID:19594424	(2009) Human Cytomegalovirus US28: a functionally selective chemokine binding receptor.	3	19	2.49	0.0205	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
PMID:25545279	(2014) Expression and function of Ccbe1 in the chick early cardiogenic regions are required for correct heart development.	3	20	2.47	0.0217	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
PMID:19413999	(2009) Inflammatory cytokines in vascular dysfunction and vascular disease.	4	102	1.88	0.0217	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000403495	CCR5,CX3CR1,RHOA,LTA
PMID:32283413	(2020) Adjuvant herbal therapy for targeting susceptibility genes to Kawasaki disease: An overview of epidemiology, pathogenesis, diagnosis and pharmacological treatment of Kawasaki disease.	4	105	1.87	0.0228	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:29273304	(2018) Redundancy and robustness versus division of labour and specialization in innate immunity.	3	21	2.45	0.0230	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:25383745	(2014) HIV-infection, atherosclerosis and the inflammatory pathway: candidate gene study in a Spanish HIV-infected population.	3	21	2.45	0.0230	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000403495	CCR5,CX3CR1,LTA
PMID:20537517	(2010) Monocytes mediate mucosal immunity to Toxoplasma gondii.	3	21	2.45	0.0230	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:20090210	(2009) Mediators of ocular angiogenesis.	4	108	1.86	0.0230	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000480043	CCR5,CX3CR1,FGFR1,VEGFC
PMID:34689842	(2021) Landscape of Myeloid-derived Suppressor Cell in Tumor Immunotherapy.	4	110	1.85	0.0233	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000480043	CCR5,CX3CR1,MYD88,VEGFC
PMID:35087852	(2021) Liver Fibrosis-From Mechanisms of Injury to Modulation of Disease.	4	110	1.85	0.0233	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,RHOA,MYD88
PMID:19229316	(2009) Differential ligand binding to a human cytomegalovirus chemokine receptor determines cell type-specific motility.	3	22	2.43	0.0233	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
PMID:30158437	(2018) The Virology of Taterapox Virus In Vitro.	3	23	2.41	0.0244	9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495	RHOA,MYD88,LTA
PMID:15928200	(2005) Recruitment of Gr-1+ monocytes is essential for control of acute toxoplasmosis.	3	23	2.41	0.0244	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:24410939	(2014) Distribution of immune cells in the human cervix and implications for HIV transmission.	3	24	2.39	0.0262	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:32359480	(2020) Considering the Immune System during Fecal Microbiota Transplantation for Clostridioides difficile Infection.	3	25	2.37	0.0287	9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399	CX3CR1,RHOA,MYD88
PMID:32923146	(2020) The role of circulating monocytes and JAK inhibition in the infectious-driven inflammatory response of myelofibrosis.	3	25	2.37	0.0287	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:31540435	(2019) Conceptual Development of Immunotherapeutic Approaches to Gastrointestinal Cancer.	4	122	1.81	0.0287	9606.ENSP00000292303,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000480043	CCR5,FGFR1,MYD88,VEGFC
PMID:23708969	(2013) Neutrophil swarms require LTB4 and integrins at sites of cell death in vivo.	3	25	2.37	0.0287	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:27135421	(2016) Age-associated vascular inflammation promotes monocytosis during atherogenesis.	3	26	2.35	0.0293	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:24714157	(2014) Chemokine receptor CCR8 is required for lipopolysaccharide-triggered cytokine production in mouse peritoneal macrophages.	3	26	2.35	0.0293	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:21911834	(2011) Sex differences in resident immune cell phenotype underlie more efficient acute inflammatory responses in female mice.	3	26	2.35	0.0293	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:33897618	(2021) Modulating the Microbiota as a Therapeutic Intervention for Type 2 Diabetes.	3	28	2.32	0.0339	9606.ENSP00000155840,9606.ENSP00000356729,9606.ENSP00000401399	KCNQ1,FMO3,MYD88
PMID:35002626	(2021) Sensory Experience as a Regulator of Structural Plasticity in the Developing Whisker-to-Barrel System.	3	28	2.32	0.0339	9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000400175	CX3CR1,CCK,RHOA
PMID:32253243	(2020) IRAK-M Regulates Monocyte Trafficking to the Lungs in Response to Bleomycin Challenge.	3	29	2.31	0.0360	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:32774427	(2020) The Relationship between Prevention and Treatment of Colorectal Cancer and Cancerous Toxin Pathogenesis Theory Basing on Gut Microbiota.	3	29	2.31	0.0360	9606.ENSP00000292303,9606.ENSP00000401399,9606.ENSP00000480043	CCR5,MYD88,VEGFC
PMID:31289541	(2019) Differential gene expression in growth factors, epithelial mesenchymal transition and chemotaxis in the diffuse type compared with the intestinal type of gastric cancer.	3	30	2.29	0.0360	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
PMID:28832904	(2017) Infectious and immunogenetic factors in bipolar disorder.	3	29	2.31	0.0360	9606.ENSP00000292303,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,MYD88,LTA
PMID:29211816	(2017) Clinical outcome and molecular characterisation of chemorefractory metastatic colorectal cancer patients with long-term efficacy of regorafenib treatment.	4	134	1.77	0.0360	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000480043	FGFR1,RHOA,MYD88,VEGFC
PMID:29263330	(2017) Annexin-A1 enhances breast cancer growth and migration by promoting alternative macrophage polarization in the tumour microenvironment.	3	29	2.31	0.0360	9606.ENSP00000292303,9606.ENSP00000400175,9606.ENSP00000403495	CCR5,RHOA,LTA
PMID:22933628	(2012) Monocytes from Irf5-- mice have an intrinsic defect in their response to pristane-induced lupus.	3	29	2.31	0.0360	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:20714353	(2010) Tip-DC development during parasitic infection is regulated by IL-10 and requires CCL2CCR2, IFN-gamma and MyD88 signaling.	3	29	2.31	0.0360	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:30150544	(2018) Macrophage Immunomodulation: The Gatekeeper for Mesenchymal Stem Cell Derived-Exosomes in Pulmonary Arterial Hypertension?	3	31	2.28	0.0377	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:21261944	(2011) Caries induced cytokine network in the odontoblast layer of human teeth.	4	142	1.74	0.0392	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:20620671	(2010) Macrophages, dendritic cells, and kidney ischemia-reperfusion injury.	3	32	2.26	0.0400	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:28197019	(2017) Inflammation and Cancer: Extra- and Intracellular Determinants of Tumor-Associated Macrophages as Tumor Promoters.	4	144	1.74	0.0401	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000480043	CCR5,CX3CR1,MYD88,VEGFC
PMID:34193425	(2021) In vitro engineering of a bone metastases model allows for study of the effects of antiandrogen therapies in advanced prostate cancer.	3	33	2.25	0.0422	9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175	CX3CR1,FGFR1,RHOA
PMID:34834170	(2021) Targeting the Gut Mucosal Immune System Using Nanomaterials.	3	33	2.25	0.0422	9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000480043	CX3CR1,MYD88,VEGFC
PMID:26950310	(2016) A Critical Role for MonocytesMacrophages During Intestinal Inflammation-associated Lymphangiogenesis.	3	33	2.25	0.0422	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000480043	CCR5,CX3CR1,VEGFC
PMID:24855007	(2014) Pancreatic cancer, inflammation, and microbiome.	3	33	2.25	0.0422	9606.ENSP00000292303,9606.ENSP00000379472,9606.ENSP00000401399	CCR5,CCK,MYD88
PMID:22572241	(2012) Heterogeneity of lung mononuclear phagocytes in chronic obstructive pulmonary disease.	3	33	2.25	0.0422	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:33927608	(2021) Mechanism of White Matter Injury and Promising Therapeutic Strategies of MSCs After Intracerebral Hemorrhage.	3	37	2.2	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:33972511	(2021) Emerging concepts in intestinal immune control of obesity-related metabolic disease.	3	35	2.22	0.0427	9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000401399	CX3CR1,CCK,MYD88
PMID:34216296	(2021) Current Understanding of Multisystem Inflammatory Syndrome (MIS-C) Following COVID-19 and Its Distinction from Kawasaki Disease.	3	34	2.24	0.0427	9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CX3CR1,MYD88,LTA
PMID:34945203	(2021) Recent Advances on the Role and Therapeutic Potential of Regulatory T Cells in Atherosclerosis.	3	37	2.2	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:31862627	(2020) Intestinal neuro-immune interactions: focus on macrophages, mast cells and innate lymphoid cells.	3	34	2.24	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472	CCR5,CX3CR1,CCK
PMID:31919134	(2020) Analysis of Pre- and Posttreatment Tissues from the SWOG S0800 Trial Reveals an Effect of Neoadjuvant Chemotherapy on the Breast Cancer Genome.	3	35	2.22	0.0427	9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175	CX3CR1,FGFR1,RHOA
PMID:32273689	(2020) The Role of Selected Pro-Inflammatory Cytokines in Pathogenesis of Ischemic Stroke.	3	34	2.24	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000403495	CCR5,CX3CR1,LTA
PMID:32365599	(2020) Digital PCR: A Reliable Tool for Analyzing and Monitoring Hematologic Malignancies.	3	36	2.21	0.0427	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399	FGFR1,RHOA,MYD88
PMID:33185818	(2020) Traumatic brain injury in mice induces changes in the expression of the XCL1XCR1 and XCL1ITGA9 axes.	3	34	2.24	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
PMID:33224886	(2020) The Crosstalk Between Tumor-Associated Macrophages (TAMs) and Tumor Cells and the Corresponding Targeted Therapy.	4	150	1.72	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000480043	CCR5,CX3CR1,MYD88,VEGFC
PMID:30709060	(2019) Multidisciplinary Roles of LRRFIP1GCF2 in Human Biological Systems and Diseases.	3	34	2.24	0.0427	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399	FGFR1,RHOA,MYD88
PMID:31653058	(2019) Immunobiology of Atherosclerosis: A Complex Net of Interactions.	4	152	1.71	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,RHOA,MYD88
PMID:30534107	(2018) Biomarker Supervised G-CSF (Filgrastim) Response in ALS Patients.	3	34	2.24	0.0427	9606.ENSP00000292303,9606.ENSP00000403495,9606.ENSP00000480043	CCR5,LTA,VEGFC
PMID:29375574	(2017) The Role of Skin and Orogenital Microbiota in Protective Immunity and Chronic Immune-Mediated Inflammatory Disease.	3	35	2.22	0.0427	9606.ENSP00000292303,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,RHOA,MYD88
PMID:27131432	(2016) Memory CD8(+) T Cells: Innate-Like Sensors and Orchestrators of Protection.	3	37	2.2	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:27319348	(2016) Emerging roles for antigen presentation in establishing host-microbiome symbiosis.	3	35	2.22	0.0427	9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CX3CR1,MYD88,LTA
PMID:24092382	(2014) Regulatory myeloid cells in transplantation.	3	34	2.24	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:23388178	(2013) Non-steroid anti-inflammatory drugs, prostaglandins, and cancer.	3	34	2.24	0.0427	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
PMID:21376242	(2011) Horizons in therapy for corneal angiogenesis.	3	35	2.22	0.0427	9606.ENSP00000292303,9606.ENSP00000393312,9606.ENSP00000480043	CCR5,FGFR1,VEGFC
PMID:21930249	(2011) Chemoattractant receptors as pharmacological targets for elimination of glioma stem-like cells.	3	35	2.22	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312	CCR5,CX3CR1,FGFR1
PMID:22132197	(2011) Lymphangiogenesis is required for pancreatic islet inflammation and diabetes.	3	37	2.2	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000480043	CCR5,CX3CR1,VEGFC
PMID:20733031	(2010) CXCR3-dependent accumulation and activation of perivascular macrophages is necessary for homeostatic arterial remodeling to hemodynamic stresses.	3	36	2.21	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:20798866	(2010) Biliary innate immunity: function and modulation.	3	36	2.21	0.0427	9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000401399	CX3CR1,FGFR1,MYD88
PMID:20880743	(2010) Educating CD4 T cells with vaccine adjuvants: lessons from lipopolysaccharide.	3	37	2.2	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:19006696	(2008) Regulation of hierarchical clustering and activation of innate immune cells by dendritic cells.	3	37	2.2	0.0427	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:35069578	(2021) The Impact of Systemic Inflammation on Alzheimers Disease Pathology.	3	38	2.19	0.0431	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:28546658	(2017) Endothelial Alterations in Systemic Lupus Erythematosus and Rheumatoid Arthritis: Potential Effect of Monocyte Interaction.	3	38	2.19	0.0431	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:29263385	(2017) The HIV co-receptor CCR5 regulates osteoclast function.	3	38	2.19	0.0431	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
PMID:25328909	(2014) The myriad essential roles of microRNAs in cardiovascular homeostasis and disease.	4	164	1.68	0.0431	9606.ENSP00000155840,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399	KCNQ1,FGFR1,RHOA,MYD88
PMID:23909719	(2013) Molecular mechanisms and treatment of radiation-induced lung fibrosis.	3	38	2.19	0.0431	9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495	RHOA,MYD88,LTA
PMID:18977698	(2009) Oligoclonal myelin-reactive T-cell infiltrates derived from multiple sclerosis lesions are enriched in Th17 cells.	3	38	2.19	0.0431	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000403495	CCR5,CX3CR1,LTA
PMID:32752094	(2020) Contactin 1: An Important and Emerging Oncogenic Protein Promoting Cancer Progression and Metastasis.	3	39	2.18	0.0436	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
PMID:33348900	(2020) Virus-Mediated Cell-Cell Fusion.	3	39	2.18	0.0436	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
PMID:29623197	(2018) Recent advances in understanding West Nile virus host immunity and viral pathogenesis.	3	39	2.18	0.0436	9606.ENSP00000292303,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,RHOA,MYD88
PMID:26557111	(2015) The cross-talk of HIV-1 Tat and methamphetamine in HIV-associated neurocognitive disorders.	3	39	2.18	0.0436	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
PMID:20374632	(2010) Molecular mechanisms of neuroinvasion by monocytes-macrophages in HIV-1 infection.	3	39	2.18	0.0436	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
PMID:33643285	(2020) VISTA: A Target to Manage the Innate Cytokine Storm.	3	40	2.17	0.0447	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:22007291	(2012) Alternative splicing in oncogenic kinases: from physiological functions to cancer.	3	40	2.17	0.0447	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
PMID:19655114	(2009) Cytokine and chemokine regulation of sensory neuron function.	3	40	2.17	0.0447	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:30718650	(2019) High percentages and activity of synovial fluid NK cells present in patients with advanced stage active Rheumatoid Arthritis.	3	41	2.16	0.0466	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312	CCR5,CX3CR1,FGFR1
PMID:25404894	(2014) The impact of microglial activation on blood-brain barrier in brain diseases.	3	41	2.16	0.0466	9606.ENSP00000400175,9606.ENSP00000403495,9606.ENSP00000480043	RHOA,LTA,VEGFC
PMID:23798302	(2012) Pathophysiology of acute kidney injury.	4	174	1.65	0.0484	9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399	CX3CR1,FGFR1,RHOA,MYD88
PMID:28500078	(2017) A Time- and Compartment-Specific Activation of Lung Macrophages in Hypoxic Pulmonary Hypertension.	3	42	2.15	0.0486	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399	FGFR1,RHOA,MYD88
