#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0070887	Cellular response to chemical stimulus	8	2919	0.69	0.0076	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2,VKORC1L1
GO Process	GO:2001237	Negative regulation of extrinsic apoptotic signaling pathway	3	106	1.7	0.0076	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000359258	HMOX1,GCLC,GCLM
GO Process	GO:0030162	Regulation of proteolysis	5	747	1.08	0.0084	9606.ENSP00000171111,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000380252	KEAP1,GCLC,TP63,TP53,NFE2L2
GO Process	GO:0006750	Glutathione biosynthetic process	2	14	2.41	0.0088	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO Process	GO:0010033	Response to organic substance	8	3011	0.67	0.0088	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,VKORC1,NFE2L2
GO Process	GO:0010038	Response to metal ion	4	367	1.29	0.0091	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000380252	HMOX1,GCLC,NQO1,NFE2L2
GO Process	GO:0042542	Response to hydrogen peroxide	3	119	1.65	0.0091	9606.ENSP00000216117,9606.ENSP00000319788,9606.ENSP00000380252	HMOX1,NQO1,NFE2L2
GO Process	GO:0043618	Regulation of transcription from rna polymerase ii promoter in response to stress	3	118	1.66	0.0091	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,TP53,NFE2L2
GO Process	GO:0006766	Vitamin metabolic process	3	122	1.64	0.0093	9606.ENSP00000229416,9606.ENSP00000378426,9606.ENSP00000403077	GCLC,VKORC1,VKORC1L1
GO Process	GO:0035729	Cellular response to hepatocyte growth factor stimulus	2	16	2.35	0.0094	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO Process	GO:0042221	Response to chemical	9	4333	0.57	0.0094	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,VKORC1,NFE2L2,VKORC1L1
GO Process	GO:2000269	Regulation of fibroblast apoptotic process	2	17	2.32	0.0097	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
GO Process	GO:0031331	Positive regulation of cellular catabolic process	4	397	1.25	0.0099	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NFE2L2
GO Process	GO:0097746	Regulation of blood vessel diameter	3	139	1.58	0.0107	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000359258	HMOX1,GCLC,GCLM
GO Process	GO:0031329	Regulation of cellular catabolic process	5	875	1.01	0.0114	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NFE2L2
GO Process	GO:0043524	Negative regulation of neuron apoptotic process	3	148	1.56	0.0118	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000359258	HMOX1,GCLC,GCLM
GO Process	GO:0019725	Cellular homeostasis	5	895	1.0	0.0123	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,NQO1,GCLM,NFE2L2
GO Process	GO:0051900	Regulation of mitochondrial depolarization	2	22	2.21	0.0126	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO Process	GO:0007005	Mitochondrion organization	4	452	1.2	0.0134	9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000359258	GCLC,TP63,TP53,GCLM
GO Process	GO:1901700	Response to oxygen-containing compound	6	1567	0.83	0.0134	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
GO Process	GO:0010243	Response to organonitrogen compound	5	987	0.95	0.0165	9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252	GCLC,TP53,GCLM,VKORC1,NFE2L2
GO Process	GO:1900740	Positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	2	27	2.12	0.0165	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
GO Process	GO:0042592	Homeostatic process	6	1676	0.8	0.0172	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,TP63,NQO1,GCLM,NFE2L2
GO Process	GO:0050878	Regulation of body fluid levels	4	509	1.15	0.0180	9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000378426,9606.ENSP00000380252	GGCX,TP63,VKORC1,NFE2L2
GO Process	GO:0071345	Cellular response to cytokine stimulus	5	1013	0.94	0.0180	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,TP53,GCLM,NFE2L2
GO Process	GO:0042771	Intrinsic apoptotic signaling pathway in response to dna damage by p53 class mediator	2	30	2.07	0.0185	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
GO Process	GO:0071456	Cellular response to hypoxia	3	189	1.45	0.0188	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,TP53,NFE2L2
GO Process	GO:0006536	Glutamate metabolic process	2	31	2.06	0.0193	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO Process	GO:0071248	Cellular response to metal ion	3	193	1.44	0.0193	9606.ENSP00000216117,9606.ENSP00000319788,9606.ENSP00000380252	HMOX1,NQO1,NFE2L2
GO Process	GO:1901701	Cellular response to oxygen-containing compound	5	1055	0.93	0.0199	9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	GCLC,TP53,NQO1,GCLM,NFE2L2
GO Process	GO:0016242	Negative regulation of macroautophagy	2	33	2.03	0.0200	9606.ENSP00000216117,9606.ENSP00000269305	HMOX1,TP53
GO Process	GO:0031669	Cellular response to nutrient levels	3	204	1.42	0.0209	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,TP53,NFE2L2
GO Process	GO:0046685	Response to arsenic-containing substance	2	34	2.02	0.0209	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
GO Process	GO:0010665	Regulation of cardiac muscle cell apoptotic process	2	35	2.01	0.0216	9606.ENSP00000269305,9606.ENSP00000380252	TP53,NFE2L2
GO Process	GO:0006807	Nitrogen compound metabolic process	10	6852	0.41	0.0234	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,GCLC,GGCX,TP53,NQO1,GCLM,VKORC1,NFE2L2,VKORC1L1
GO Process	GO:0010259	Multicellular organism aging	2	37	1.98	0.0234	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
GO Process	GO:0006984	ER-nucleus signaling pathway	2	38	1.97	0.0237	9606.ENSP00000269305,9606.ENSP00000380252	TP53,NFE2L2
GO Process	GO:0010656	Negative regulation of muscle cell apoptotic process	2	38	1.97	0.0237	9606.ENSP00000216117,9606.ENSP00000380252	HMOX1,NFE2L2
GO Process	GO:0071417	Cellular response to organonitrogen compound	4	590	1.08	0.0237	9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000359258,9606.ENSP00000380252	GCLC,TP53,GCLM,NFE2L2
GO Process	GO:1901564	Organonitrogen compound metabolic process	9	5244	0.48	0.0237	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000269305,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,GCLC,GGCX,TP53,GCLM,VKORC1,NFE2L2,VKORC1L1
GO Process	GO:0009628	Response to abiotic stimulus	5	1147	0.89	0.0241	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000380252	HMOX1,GCLC,TP53,NQO1,NFE2L2
GO Process	GO:0042149	Cellular response to glucose starvation	2	42	1.93	0.0265	9606.ENSP00000269305,9606.ENSP00000380252	TP53,NFE2L2
GO Process	GO:1904036	Negative regulation of epithelial cell apoptotic process	2	42	1.93	0.0265	9606.ENSP00000216117,9606.ENSP00000380252	HMOX1,NFE2L2
GO Process	GO:2000772	Regulation of cellular senescence	2	43	1.92	0.0271	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
GO Process	GO:0046677	Response to antibiotic	2	44	1.91	0.0278	9606.ENSP00000269305,9606.ENSP00000378426	TP53,VKORC1
GO Process	GO:0051402	Neuron apoptotic process	2	46	1.89	0.0295	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
GO Process	GO:0043065	Positive regulation of apoptotic process	4	660	1.03	0.0326	9606.ENSP00000216117,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000319788	HMOX1,TP63,TP53,NQO1
GO Process	GO:0043536	Positive regulation of blood vessel endothelial cell migration	2	56	1.8	0.0408	9606.ENSP00000216117,9606.ENSP00000380252	HMOX1,NFE2L2
GO Process	GO:0008637	Apoptotic mitochondrial changes	2	57	1.8	0.0415	9606.ENSP00000269305,9606.ENSP00000359258	TP53,GCLM
GO Process	GO:0043525	Positive regulation of neuron apoptotic process	2	58	1.79	0.0422	9606.ENSP00000269305,9606.ENSP00000319788	TP53,NQO1
GO Process	GO:0044237	Cellular metabolic process	10	7513	0.37	0.0422	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,GCLC,GGCX,TP53,NQO1,GCLM,VKORC1,NFE2L2,VKORC1L1
GO Process	GO:0032502	Developmental process	9	5841	0.44	0.0462	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP63,TP53,NQO1,GCLM,VKORC1,NFE2L2
GO Process	GO:0010823	Negative regulation of mitochondrion organization	2	62	1.76	0.0468	9606.ENSP00000229416,9606.ENSP00000269305	GCLC,TP53
GO Process	GO:0045604	Regulation of epidermal cell differentiation	2	62	1.76	0.0468	9606.ENSP00000171111,9606.ENSP00000264731	KEAP1,TP63
GO Process	GO:0046686	Response to cadmium ion	2	63	1.75	0.0476	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
GO Function	GO:0004357	Glutamate-cysteine ligase activity	2	2	3.25	0.0056	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO Function	GO:0047057	vitamin-K-epoxide reductase (warfarin-sensitive) activity	2	2	3.25	0.0056	9606.ENSP00000378426,9606.ENSP00000403077	VKORC1,VKORC1L1
GO Function	GO:0097371	MDM2/MDM4 family protein binding	2	9	2.6	0.0127	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
GO Function	GO:0048038	Quinone binding	2	18	2.3	0.0351	9606.ENSP00000378426,9606.ENSP00000403077	VKORC1,VKORC1L1
GO Component	GO:0017109	Glutamate-cysteine ligase complex	2	2	3.25	0.0029	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO Component	GO:0005783	Endoplasmic reticulum	6	1438	0.87	0.0453	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000378426,9606.ENSP00000403077	KEAP1,HMOX1,TP63,TP53,VKORC1,VKORC1L1
STRING clusters	CL:25523	Protein carboxylation, and defective abcc6 causes pxe	4	6	3.07	5.14e-08	9606.ENSP00000233838,9606.ENSP00000319788,9606.ENSP00000378426,9606.ENSP00000403077	GGCX,NQO1,VKORC1,VKORC1L1
STRING clusters	CL:5266	Li-Fraumeni syndrome, and Cyclin-G1	2	5	2.85	0.0055	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
STRING clusters	CL:13111	Glutathione biosynthesis	2	6	2.77	0.0061	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
KEGG	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	4	11	2.81	2.47e-08	9606.ENSP00000233838,9606.ENSP00000319788,9606.ENSP00000378426,9606.ENSP00000403077	GGCX,NQO1,VKORC1,VKORC1L1
KEGG	hsa04216	Ferroptosis	4	41	2.24	1.09e-06	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000359258	HMOX1,GCLC,TP53,GCLM
KEGG	hsa05418	Fluid shear stress and atherosclerosis	5	130	1.84	1.09e-06	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000380252	KEAP1,HMOX1,TP53,NQO1,NFE2L2
KEGG	hsa05225	Hepatocellular carcinoma	5	160	1.74	1.49e-06	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000380252	KEAP1,HMOX1,TP53,NQO1,NFE2L2
KEGG	hsa01100	Metabolic pathways	7	1447	0.93	0.00021	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000403077	HMOX1,GCLC,GGCX,NQO1,GCLM,VKORC1,VKORC1L1
KEGG	hsa05200	Pathways in cancer	5	517	1.24	0.00030	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000380252	KEAP1,HMOX1,TP53,NQO1,NFE2L2
KEGG	hsa05206	MicroRNAs in cancer	3	160	1.52	0.0043	9606.ENSP00000216117,9606.ENSP00000264731,9606.ENSP00000269305	HMOX1,TP63,TP53
KEGG	hsa00270	Cysteine and methionine metabolism	2	49	1.86	0.0151	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
KEGG	hsa00480	Glutathione metabolism	2	53	1.83	0.0157	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
Reactome	HSA-5578999	Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)	2	2	3.25	0.0037	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
Reactome	HSA-6806664	Metabolism of vitamin K	2	3	3.07	0.0037	9606.ENSP00000378426,9606.ENSP00000403077	VKORC1,VKORC1L1
Reactome	HSA-139915	Activation of PUMA and translocation to mitochondria	2	8	2.65	0.0093	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
Reactome	HSA-174403	Glutathione synthesis and recycling	2	12	2.47	0.0141	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
Reactome	HSA-6803205	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	2	13	2.44	0.0141	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
Reactome	HSA-6803207	TP53 Regulates Transcription of Caspase Activators and Caspases	2	12	2.47	0.0141	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
Reactome	HSA-6803211	TP53 Regulates Transcription of Death Receptors and Ligands	2	12	2.47	0.0141	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
Reactome	HSA-6804759	Regulation of TP53 Activity through Association with Co-factors	2	14	2.41	0.0141	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
Reactome	HSA-6803204	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	2	19	2.27	0.0145	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
WikiPathways	WP3	Transcriptional activation by NRF2 in response to phytochemicals	6	15	2.85	2.17e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WikiPathways	WP3612	Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	6	23	2.67	9.47e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WikiPathways	WP4357	NRF2-ARE regulation	6	23	2.67	9.47e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WikiPathways	WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	6	31	2.54	2.31e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WikiPathways	WP2884	NRF2 pathway	6	143	1.87	1.07e-08	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WikiPathways	WP408	Oxidative stress response	4	32	2.35	3.56e-07	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000380252	HMOX1,GCLC,NQO1,NFE2L2
WikiPathways	WP2882	Nuclear receptors meta-pathway	6	316	1.53	7.01e-07	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WikiPathways	WP4313	Ferroptosis	4	40	2.25	7.01e-07	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000359258	HMOX1,GCLC,TP53,GCLM
WikiPathways	WP4674	Head and neck squamous cell carcinoma	4	72	1.99	5.11e-06	9606.ENSP00000171111,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000380252	KEAP1,TP63,TP53,NFE2L2
WikiPathways	WP4206	Hereditary leiomyomatosis and renal cell carcinoma pathway	3	20	2.43	1.57e-05	9606.ENSP00000171111,9606.ENSP00000269305,9606.ENSP00000380252	KEAP1,TP53,NFE2L2
WikiPathways	WP2586	Aryl hydrocarbon receptor Netpath	3	46	2.06	0.00015	9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000380252	GCLC,NQO1,NFE2L2
WikiPathways	WP1742	TP53 network	2	19	2.27	0.0031	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
WikiPathways	WP3670	Interactions between LOXL4 and oxidative stress pathway	2	18	2.3	0.0031	9606.ENSP00000319788,9606.ENSP00000380252	NQO1,NFE2L2
WikiPathways	WP100	Glutathione metabolism	2	21	2.23	0.0035	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
WikiPathways	WP4925	Unfolded protein response	2	24	2.17	0.0042	9606.ENSP00000269305,9606.ENSP00000380252	TP53,NFE2L2
