#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
KEGG	hsa04512	ECM-receptor interaction	3	88	1.78	0.0052	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889	VWF,COL4A5,COL2A1
KEGG	hsa04974	Protein digestion and absorption	3	100	1.73	0.0052	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
KEGG	hsa04510	Focal adhesion	3	198	1.43	0.0185	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889	VWF,COL4A5,COL2A1
KEGG	hsa00330	Arginine and proline metabolism	2	48	1.87	0.0291	9606.ENSP00000263556,9606.ENSP00000384999	P4HA1,P4HA2
KEGG	hsa05165	Human papillomavirus infection	3	325	1.22	0.0468	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889	VWF,COL4A5,COL2A1
KEGG	hsa04151	PI3K-Akt signaling pathway	3	350	1.18	0.0482	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889	VWF,COL4A5,COL2A1
Reactome	HSA-1650814	Collagen biosynthesis and modifying enzymes	7	67	2.27	5.83e-12	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COLGALT2,COL2A1,COL8A2,P4HA2,P4HA3
Reactome	HSA-1474244	Extracellular matrix organization	8	301	1.67	4.04e-10	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	VWF,P4HA1,COL4A5,COLGALT2,COL2A1,COL8A2,P4HA2,P4HA3
Reactome	HSA-216083	Integrin cell surface interactions	4	85	1.92	6.98e-05	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	VWF,COL4A5,COL2A1,COL8A2
Reactome	HSA-8948216	Collagen chain trimerization	3	44	2.08	0.00092	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
Reactome	HSA-1442490	Collagen degradation	3	64	1.92	0.0020	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
Reactome	HSA-2022090	Assembly of collagen fibrils and other multimeric structures	3	61	1.94	0.0020	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
Monarch HPO	HP:0012040	Corneal stromal edema	4	7	3.01	1.76e-07	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
Monarch HPO	HP:0011490	Abnormal Descemet membrane morphology	4	11	2.81	3.64e-07	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
Monarch HPO	HP:0012038	Corneal guttata	3	4	3.13	1.14e-05	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
Monarch HPO	HP:0000622	Blurred vision	4	38	2.27	1.18e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
Monarch HPO	HP:0011491	Reduced number of corneal endothelial cells	3	5	3.03	1.22e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0032122	Very low visual acuity	3	5	3.03	1.22e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0025358	Uveal ectropion	3	6	2.95	1.37e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0011483	Anterior synechiae of the anterior chamber	3	10	2.73	4.15e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0200026	Ocular pain	3	14	2.58	8.86e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0000539	Abnormality of refraction	7	889	1.15	9.66e-05	9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999	COL4A5,ZEB1,VSX1,SLC4A11,COL2A1,COL8A2,P4HA2
Monarch HPO	HP:0009918	Ectopia pupillae	3	15	2.55	9.66e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0007906	Ocular hypertension	3	25	2.33	0.00028	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0200065	Chorioretinal degeneration	3	36	2.17	0.00066	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0000969	Edema	5	386	1.36	0.00067	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL2A1,COL8A2
Monarch HPO	HP:0001131	Corneal dystrophy	3	37	2.16	0.00067	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
Monarch HPO	HP:0000632	Lacrimation abnormality	3	49	2.04	0.0013	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0007663	Reduced visual acuity	5	452	1.29	0.0013	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL2A1,COL8A2
Monarch HPO	HP:0007957	Corneal opacity	4	226	1.5	0.0022	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
Monarch HPO	HP:0000483	Astigmatism	4	239	1.47	0.0026	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
Monarch HPO	HP:0000646	Amblyopia	3	89	1.78	0.0057	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0000501	Glaucoma	4	303	1.37	0.0061	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369889,9606.ENSP00000380901	ZEB1,VSX1,COL2A1,COL8A2
Monarch HPO	HP:0000481	Abnormal cornea morphology	5	675	1.12	0.0064	9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	COL4A5,ZEB1,VSX1,SLC4A11,COL8A2
Monarch HPO	HP:0100692	Increased corneal curvature	3	111	1.68	0.0095	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
Monarch HPO	HP:0000565	Esotropia	3	135	1.6	0.0158	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
DISEASES	DOID:0060457	Posterior polymorphous corneal dystrophy	4	6	3.07	4.94e-08	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
DISEASES	DOID:0110855	Posterior polymorphous corneal dystrophy 1	3	5	3.03	1.07e-05	9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	VSX1,SLC4A11,COL8A2
DISEASES	DOID:11555	Fuchs endothelial dystrophy	3	8	2.82	2.37e-05	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
DISEASES	DOID:10126	Keratoconus	3	18	2.47	0.00011	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399	ZEB1,VSX1,SLC4A11
DISEASES	DOID:5614	Eye disease	6	715	1.17	0.00053	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999	ZEB1,VSX1,SLC4A11,COL2A1,COL8A2,P4HA2
DISEASES	DOID:0111620	Corneal dystrophy-perceptive deafness syndrome	2	2	3.25	0.00084	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
DISEASES	DOID:11554	Chandler syndrome	2	2	3.25	0.00084	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
DISEASES	DOID:0110856	Posterior polymorphous corneal dystrophy 2	2	3	3.07	0.0011	9606.ENSP00000365899,9606.ENSP00000380901	VSX1,COL8A2
DISEASES	DOID:0110857	Posterior polymorphous corneal dystrophy 3	2	3	3.07	0.0011	9606.ENSP00000354487,9606.ENSP00000380901	ZEB1,COL8A2
DISEASES	DOID:11030	Corneal edema	2	5	2.85	0.0019	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
DISEASES	DOID:0050736	Autosomal dominant disease	6	1163	0.96	0.0046	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901	VWF,COL4A5,VSX1,SLC4A11,COL2A1,COL8A2
DISEASES	DOID:9835	Refractive error	2	27	2.12	0.0315	9606.ENSP00000365899,9606.ENSP00000384999	VSX1,P4HA2
COMPARTMENTS	GOCC:0005783	Endoplasmic reticulum	8	825	1.24	3.54e-06	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	VWF,P4HA1,COL4A5,COLGALT2,COL2A1,COL8A2,P4HA2,P4HA3
COMPARTMENTS	GOCC:0005788	Endoplasmic reticulum lumen	5	150	1.77	1.50e-05	9606.ENSP00000263556,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COLGALT2,COL2A1,P4HA2,P4HA3
COMPARTMENTS	GOCC:0062023	Collagen-containing extracellular matrix	4	197	1.56	0.0026	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	VWF,COL4A5,COL2A1,COL8A2
COMPARTMENTS	GOCC:0098644	Complex of collagen trimers	2	20	2.25	0.0254	9606.ENSP00000331902,9606.ENSP00000369889	COL4A5,COL2A1
UniProt Keywords	KW-1212	Corneal dystrophy	4	20	2.55	3.85e-07	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
UniProt Keywords	KW-0847	Vitamin C	3	19	2.45	6.83e-05	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
UniProt Keywords	KW-0176	Collagen	3	82	1.81	0.0024	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
UniProt Keywords	KW-0223	Dioxygenase	3	82	1.81	0.0024	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
UniProt Keywords	KW-0272	Extracellular matrix	4	265	1.43	0.0024	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	VWF,COL4A5,COL2A1,COL8A2
UniProt Keywords	KW-0225	Disease mutation	8	3145	0.66	0.0053	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999	VWF,COL4A5,ZEB1,VSX1,SLC4A11,COL2A1,COL8A2,P4HA2
UniProt Keywords	KW-0379	Hydroxylation	3	140	1.58	0.0055	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
UniProt Keywords	KW-0732	Signal	8	3233	0.64	0.0055	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	VWF,P4HA1,COL4A5,COLGALT2,COL2A1,COL8A2,P4HA2,P4HA3
UniProt Keywords	KW-0802	TPR repeat	3	161	1.52	0.0068	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
UniProt Keywords	KW-0084	Basement membrane	2	39	1.96	0.0157	9606.ENSP00000331902,9606.ENSP00000380901	COL4A5,COL8A2
UniProt Keywords	KW-0209	Deafness	3	235	1.36	0.0167	9606.ENSP00000331902,9606.ENSP00000369399,9606.ENSP00000369889	COL4A5,SLC4A11,COL2A1
UniProt Keywords	KW-0325	Glycoprotein	8	4349	0.51	0.0266	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000384999,9606.ENSP00000401749	VWF,P4HA1,COL4A5,COLGALT2,SLC4A11,COL2A1,P4HA2,P4HA3
UniProt Keywords	KW-0408	Iron	3	306	1.24	0.0282	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
Pfam	PF08336	Prolyl 4-Hydroxylase alpha-subunit, N-terminal region	3	3	3.25	9.09e-06	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
Pfam	PF13640	2OG-Fe(II) oxygenase superfamily	3	11	2.69	8.25e-05	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
Pfam	PF01391	Collagen triple helix repeat (20 copies)	3	76	1.85	0.0117	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
Pfam	PF03171	2OG-Fe(II) oxygenase superfamily	2	7	2.71	0.0117	9606.ENSP00000263556,9606.ENSP00000384999	P4HA1,P4HA2
InterPro	IPR013547	Prolyl 4-hydroxylase alpha-subunit, N-terminal	3	3	3.25	1.79e-05	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
InterPro	IPR006620	Prolyl 4-hydroxylase, alpha subunit	3	15	2.55	0.00036	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
InterPro	IPR005123	Oxoglutarate/iron-dependent dioxygenase	3	20	2.43	0.00052	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
InterPro	IPR008160	Collagen triple helix repeat	3	77	1.84	0.0179	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
SMART	SM00702	Prolyl 4-hydroxylase alpha subunit homologues.	2	13	2.44	0.0218	9606.ENSP00000384999,9606.ENSP00000401749	P4HA2,P4HA3
